ID	Height
A100422	67
A100423	67
A100424	65
A100425	75
A100426	72
A100427	69
A100428	67
A100429	66
A100430	77
A100431	75
A100432	68
A100433	66
A100434	71
A100435	65
A100436	76
A100437	69
A100438	77
A100439	72
A100440	70
A100441	70
A100442	71
A100443	67
A100444	71
A100445	66
A100446	70
A100447	68
A100448	67
A100449	74
A100450	70
A100451	73
A100452	74
A100453	73
A100454	68
A100455	73
A100456	75
A100457	67
A100458	71
A100459	67
A100460	75
A100461	61
A100462	72
A100463	71
A100464	68
A100465	69
A100466	73
A100467	71
A100468	72
A100469	72
A100470	65
A100471	76
A100472	68
A100473	76
A100474	75
A100475	72
A100476	73
A100477	80
A100478	73
A100479	70
A100480	75
A100481	73
A100482	69
A100483	69
A100484	64
A100485	68
A100486	70
A100487	68
A100488	71
A100489	73
A100490	76
A100491	68
A100492	65
A100493	71
A100494	73
A100495	70
A100496	76
A100497	60
A100498	73
A100499	71
A100500	70
A100501	74
A100502	66
A100503	72
A100504	70
A100505	67
A100506	74
A100507	73
A100508	69
A100509	69
A100510	67
A100511	68
A100512	71
A100513	71
A100514	76
A100515	72
A100516	68
A100517	72
A100518	64
A100519	60
A100520	77
A100521	69
A100522	64
A100523	72
A100524	75
A100525	70
A100526	69
A100527	70
A100528	72
A100529	74
A100530	66
A100531	68
A100532	75
A100533	69
A100534	62
A100535	76
A100536	72
A100537	72
A100538	74
A100539	69
A100540	73
A100541	67
A100542	68
A100543	72
A100544	62
A100545	76
A100546	62
A100547	72
A100548	73
A100549	68
A100550	70
A100551	68
A100552	68
A100553	75
A100554	70
A100555	67
A100556	62
A100557	71
A100558	77
A100559	69
A100560	69
A100561	74
A100562	70
A100563	82
A100564	68
A100565	74
A100566	68
A100567	77
A100568	72
A100569	72
A100570	67
A100571	69
A100572	70
A100573	66
A100574	73
A100575	65
A100576	71
A100577	65
A100578	67
A100579	73
A100580	72
A100581	66
A100582	66
A100583	76
A100584	75
A100585	69
A100586	75
A100587	66
A100588	72
A100589	68
A100590	76
A100591	66
A100592	70
A100593	67
A100594	67
A100595	63
A100596	72
A100597	67
A100598	72
A100599	70
A100600	75
A100601	81
A100602	71
A100603	68
A100604	82
A100605	74
A100606	70
A100607	66
A100608	79
A100609	67
A100610	70
A100611	72
A100612	67
A100613	64
A100614	76
A100615	71
A100616	70
A100617	74
A100618	72
A100619	67
A100620	76
A100621	77
A100622	74
A100623	71
A100624	69
A100625	73
A100626	66
A100627	71
A100628	74
A100629	64
A100630	72
A100631	73
A100632	73
A100633	81
A100634	67
A100635	73
A100636	61
A100637	75
A100638	68
A100639	74
A100640	70
A100641	70
A100642	73
A100643	67
A100644	68
A100645	74
A100646	76
A100647	67
A100648	76
A100649	65
A100650	63
A100651	66
A100652	71
A100653	72
A100654	72
A100655	66
A100656	66
A100657	66
A100658	67
A100659	64
A100660	70
A100661	68
A100662	72
A100663	71
A100664	80
A100665	68
A100666	69
A100667	70
A100668	66
A100669	76
A100670	70
A100671	75
A100672	69
A100673	67
A100674	69
A100675	71
A100676	70
A100677	66
A100678	70
A100679	64
A100680	74
A100681	74
A100682	58
A100683	68
A100684	69
A100685	78
A100686	64
A100687	73
A100688	67
A100689	71
A100690	75
A100691	68
A100692	63
A100693	70
A100694	75
A100695	72
A100696	78
A100697	71
A100698	68
A100699	76
A100700	74
A100701	65
A100702	67
A100703	68
A100704	70
A100705	65
A100706	72
A100707	70
A100708	66
A100709	71
A100710	69
A100711	74
A100712	74
A100713	69
A100714	72
A100715	74
A100716	66
A100717	64
A100718	73
A100719	70
A100720	69
A100721	73
A100722	74
A100723	75
A100724	71
A100725	70
A100726	72
A100727	66
A100728	66
A100729	65
A100730	69
A100731	68
A100732	77
A100733	69
A100734	71
A100735	67
A100736	69
A100737	70
A100738	67
A100739	70
A100740	68
A100741	70
A100742	75
A100743	74
A100744	76
A100745	71
A100746	69
A100747	70
A100748	66
A100749	73
A100750	72
A100751	68
A100752	67
A100753	65
A100754	69
A100755	69
A100756	71
A100757	74
A100758	75
A100759	62
A100760	70
A100761	68
A100762	69
A100763	68
A100764	77
A100765	66
A100766	73
A100767	72
A100768	75
A100769	68
A100770	69
A100771	69
A100772	70
A100773	73
A100774	72
A100775	74
A100776	73
A100777	72
A100778	63
A100779	60
A100780	67
A100781	65
A100782	67
A100783	65
A100784	69
A100785	70
A100786	72
A100787	66
A100788	65
A100789	77
A100790	70
A100791	67
A100792	70
A100793	78
A100794	71
A100795	68
A100796	66
A100797	76
A100798	71
A100799	69
A100800	66
A100801	75
A100802	70
A100803	67
A100804	69
A100805	78
A100806	73
A100807	78
A100808	75
A100809	62
A100810	65
A100811	74
A100812	66
A100813	72
A100814	74
A100815	70
A100816	65
A100817	70
A100818	75
A100819	65
A100820	64
A100821	75
A100822	72
A100823	72
A100824	78
A100825	75
A100826	78
A100827	70
A100828	79
A100829	73
A100830	72
A100831	66
A100832	64
A100833	63
A100834	64
A100835	77
A100836	68
A100837	65
A100838	72
A100839	69
A100840	70
A100841	66
A100842	72
A100843	72
A100844	74
A100845	65
A100846	71
A100847	76
A100848	71
A100849	69
A100850	66
A100851	78
A100852	73
A100853	77
A100854	67
A100855	72
A100856	67
A100857	64
A100858	73
A100859	67
A100860	68
A100861	72
A100862	70
A100863	70
A100864	69
A100865	75
A100866	65
A100867	66
A100868	71
A100869	70
A100870	75
A100871	68
A100872	75
A100873	71
A100874	72
A100875	71
A100876	66
A100877	73
A100878	68
A100879	74
A100880	68
A100881	69
A100882	66
A100883	63
A100884	67
A100885	74
A100886	78
A100887	68
A100888	70
A100889	77
A100890	64
A100891	72
A100892	68
A100893	70
A100894	74
A100895	71
A100896	68
A100897	69
A100898	68
A100899	74
A100900	71
A100901	77
A100902	69
A100903	70
A100904	69
A100905	67
A100906	71
A100907	67
A100908	70
A100909	69
A100910	69
A100911	67
A100912	70
A100913	74
A100914	74
A100915	66
A100916	73
A100917	76
A100918	70
A100919	69
A100920	76
A100921	64
A100922	69
A100923	69
A100924	71
A100925	67
A100926	73
A100927	69
A100928	72
A100929	70
A100930	68
A100931	72
A100932	64
A100933	81
A100934	63
A100935	67
A100936	71
A100937	73
A100938	69
A100939	68
A100940	70
A100941	70
A100942	74
A100943	67
A100944	70
A100945	70
A100946	70
A100947	64
A100948	73
A100949	77
A100950	66
A100951	75
A100952	66
A100953	65
A100954	71
A100955	65
A100956	71
A100957	67
A100958	70
A100959	70
A100960	72
A100961	71
A100962	70
A100963	70
A100964	68
A100965	74
A100966	75
A100967	69
A100968	77
A100969	69
A100970	71
A100971	74
A100972	73
A100973	79
A100974	70
A100975	67
A100976	71
A100977	76
A100978	69
A100979	76
A100980	71
A100981	71
A100982	66
A100983	75
A100984	72
A100985	70
A100986	71
A100987	70
A100988	83
A100989	67
A100990	74
A100991	67
A100992	72
A100993	74
A100994	69
A100995	75
A100996	69
A100997	70
A100998	73
A100999	74
A101000	72
A101001	70
A101002	70
A101003	67
A101004	72
A101005	81
A101006	78
A101007	61
A101008	68
A101009	66
A101010	71
A101011	67
A101012	70
A101013	66
A101014	72
A101015	75
A101016	71
A101017	67
A101018	71
A101019	72
A101020	64
A101021	70
A101022	76
A101023	71
A101024	76
A101025	69
A101026	66
A101027	71
A101028	68
A101029	70
A101030	70
A101031	67
A101032	76
A101033	71
A101034	64
A101035	68
A101036	73
A101037	76
A101038	70
A101039	76
A101040	70
A101041	61
A101042	79
A101043	77
A101044	67
A101045	78
A101046	64
A101047	69
A101048	67
A101049	75
A101050	72
A101051	69
A101052	63
A101053	71
A101054	68
A101055	66
A101056	69
A101057	68
A101058	76
A101059	74
A101060	68
A101061	68
A101062	72
A101063	68
A101064	69
A101065	72
A101066	67
A101067	69
A101068	74
A101069	72
A101070	62
A101071	79
A101072	67
A101073	63
A101074	70
A101075	74
A101076	69
A101077	71
A101078	74
A101079	68
A101080	71
A101081	65
A101082	70
A101083	71
A101084	76
A101085	67
A101086	67
A101087	67
A101088	64
A101089	70
A101090	69
A101091	69
A101092	74
A101093	67
A101094	71
A101095	70
A101096	67
A101097	68
A101098	79
A101099	76
A101100	66
A101101	74
A101102	75
A101103	79
A101104	66
A101105	75
A101106	74
A101107	71
A101108	70
A101109	67
A101110	78
A101111	73
A101112	77
A101113	74
A101114	66
A101115	67
A101116	74
A101117	69
A101118	67
A101119	75
A101120	66
A101121	70
A101122	69
A101123	68
A101124	73
A101125	69
A101126	79
A101127	69
A101128	77
A101129	70
A101130	67
A101131	77
A101132	65
A101133	69
A101134	66
A101135	72
A101136	71
A101137	69
A101138	71
A101139	64
A101140	63
A101141	67
A101142	71
A101143	71
A101144	70
A101145	65
A101146	75
A101147	70
A101148	72
A101149	73
A101150	73
A101151	69
A101152	73
A101153	75
A101154	73
A101155	69
A101156	74
A101157	71
A101158	64
A101159	77
A101160	80
A101161	65
A101162	70
A101163	79
A101164	70
A101165	75
A101166	70
A101167	71
A101168	69
A101169	73
A101170	78
A101171	64
A101172	66
A101173	71
A101174	67
A101175	74
A101176	72
A101177	69
A101178	72
A101179	76
A101180	67
A101181	69
A101182	68
A101183	72
A101184	72
A101185	70
A101186	70
A101187	73
A101188	66
A101189	78
A101190	69
A101191	75
A101192	74
A101193	75
A101194	70
A101195	66
A101196	70
A101197	72
A101198	72
A101199	67
A101200	76
A101201	70
A101202	67
A101203	67
A101204	69
A101205	69
A101206	73
A101207	62
A101208	69
A101209	71
A101210	72
A101211	77
A101212	74
A101213	70
A101214	64
A101215	74
A101216	69
A101217	67
A101218	66
A101219	70
A101220	70
A101221	75
A101222	65
A101223	73
A101224	76
A101225	74
A101226	66
A101227	70
A101228	63
A101229	66
A101230	70
A101231	69
A101232	67
A101233	69
A101234	82
A101235	70
A101236	71
A101237	68
A101238	74
A101239	71
A101240	66
A101241	73
A101242	74
A101243	66
A101244	74
A101245	74
A101246	63
A101247	71
A101248	71
A101249	73
A101250	70
A101251	70
A101252	73
A101253	68
A101254	64
A101255	74
A101256	68
A101257	70
A101258	73
A101259	72
A101260	62
A101261	66
A101262	72
A101263	67
A101264	70
A101265	72
A101266	70
A101267	75
A101268	69
A101269	73
A101270	67
A101271	68
A101272	68
A101273	72
A101274	69
A101275	71
A101276	65
A101277	73
A101278	78
A101279	80
A101280	71
A101281	69
A101282	72
A101283	70
A101284	70
A101285	72
A101286	76
A101287	65
A101288	72
A101289	73
A101290	69
A101291	69
A101292	70
A101293	66
A101294	71
A101295	72
A101296	63
A101297	69
A101298	69
A101299	70
A101300	68
A101301	78
A101302	73
A101303	72
A101304	69
A101305	72
A101306	67
A101307	68
A101308	71
A101309	66
A101310	68
A101311	79
A101312	69
A101313	72
A101314	72
A101315	76
A101316	75
A101317	70
A101318	71
A101319	68
A101320	73
A101321	61
A101322	72
A101323	72
A101324	74
A101325	69
A101326	78
A101327	79
A101328	68
A101329	66
A101330	73
A101331	63
A101332	72
A101333	70
A101334	66
A101335	73
A101336	69
A101337	73
A101338	70
A101339	72
A101340	63
A101341	72
A101342	69
A101343	69
A101344	73
A101345	67
A101346	77
A101347	70
A101348	69
A101349	75
A101350	65
A101351	70
A101352	64
A101353	67
A101354	78
A101355	69
A101356	72
A101357	82
A101358	69
A101359	64
A101360	67
A101361	72
A101362	75
A101363	65
A101364	73
A101365	69
A101366	60
A101367	71
A101368	72
A101369	74
A101370	74
A101371	68
A101372	76
A101373	70
A101374	74
A101375	70
A101376	70
A101377	67
A101378	68
A101379	75
A101380	72
A101381	77
A101382	62
A101383	72
A101384	76
A101385	73
A101386	78
A101387	68
A101388	72
A101389	64
A101390	73
A101391	64
A101392	63
A101393	66
A101394	77
A101395	68
A101396	74
A101397	67
A101398	62
A101399	67
A101400	72
A101401	80
A101402	69
A101403	71
A101404	67
A101405	69
A101406	70
A101407	74
A101408	64
A101409	79
A101410	75
A101411	68
A101412	64
A101413	65
A101414	67
A101415	71
A101416	68
A101417	72
A101418	76
A101419	65
A101420	70
A101421	70
A101422	68
A101423	73
A101424	69
A101425	68
A101426	67
A101427	72
A101428	70
A101429	73
A101430	71
A101431	71
A101432	70
A101433	70
A101434	66
A101435	71
A101436	75
A101437	72
A101438	69
A101439	63
A101440	67
A101441	68
A101442	74
A101443	70
A101444	67
A101445	68
A101446	70
A101447	63
A101448	63
A101449	65
A101450	70
A101451	71
A101452	73
A101453	71
A101454	72
A101455	65
A101456	67
A101457	73
A101458	71
A101459	70
A101460	72
A101461	75
A101462	65
A101463	71
A101464	64
A101465	78
A101466	70
A101467	67
A101468	71
A101469	70
A101470	62
A101471	65
A101472	67
A101473	71
A101474	65
A101475	73
A101476	64
A101477	70
A101478	79
A101479	67
A101480	66
A101481	70
A101482	71
A101483	74
A101484	69
A101485	66
A101486	67
A101487	67
A101488	69
A101489	74
A101490	76
A101491	76
A101492	63
A101493	69
A101494	68
A101495	68
A101496	70
A101497	61
A101498	67
A101499	74
A101500	67
A101501	64
A101502	60
A101503	72
A101504	66
A101505	73
A101506	70
A101507	71
A101508	71
A101509	73
A101510	67
A101511	63
A101512	72
A101513	78
A101514	69
A101515	77
A101516	65
A101517	76
A101518	69
A101519	78
A101520	67
A101521	73
A101522	70
A101523	66
A101524	73
A101525	78
A101526	61
A101527	69
A101528	68
A101529	75
A101530	68
A101531	70
A101532	71
A101533	77
A101534	68
A101535	75
A101536	73
A101537	68
A101538	69
A101539	67
A101540	70
A101541	67
A101542	68
A101543	69
A101544	68
A101545	74
A101546	68
A101547	70
A101548	71
A101549	70
A101550	69
A101551	74
A101552	75
A101553	72
A101554	68
A101555	70
A101556	65
A101557	72
A101558	66
A101559	62
A101560	70
A101561	73
A101562	76
A101563	79
A101564	68
A101565	73
A101566	62
A101567	75
A101568	78
A101569	73
A101570	71
A101571	67
A101572	72
A101573	74
A101574	71
A101575	63
A101576	64
A101577	73
A101578	71
A101579	67
A101580	72
A101581	73
A101582	75
A101583	69
A101584	72
A101585	73
A101586	60
A101587	66
A101588	71
A101589	75
A101590	66
A101591	68
A101592	73
A101593	71
A101594	67
A101595	70
A101596	67
A101597	72
A101598	68
A101599	75
A101600	79
A101601	68
A101602	70
A101603	68
A101604	70
A101605	67
A101606	73
A101607	63
A101608	65
A101609	78
A101610	66
A101611	67
A101612	64
A101613	70
A101614	64
A101615	65
A101616	70
A101617	76
A101618	73
A101619	78
A101620	65
A101621	68
A101622	74
A101623	74
A101624	75
A101625	76
A101626	67
A101627	72
A101628	74
A101629	73
A101630	73
A101631	72
A101632	66
A101633	73
A101634	67
A101635	67
A101636	62
A101637	76
A101638	70
A101639	73
A101640	61
A101641	71
A101642	73
A101643	64
A101644	68
A101645	68
A101646	65
A101647	68
A101648	69
A101649	68
A101650	72
A101651	76
A101652	79
A101653	62
A101654	68
A101655	70
A101656	80
A101657	71
A101658	64
A101659	73
A101660	70
A101661	67
A101662	70
A101663	75
A101664	77
A101665	68
A101666	65
A101667	74
A101668	68
A101669	76
A101670	72
A101671	61
A101672	64
A101673	65
A101674	71
A101675	72
A101676	67
A101677	65
A101678	71
A101679	71
A101680	68
A101681	71
A101682	66
A101683	69
A101684	66
A101685	63
A101686	72
A101687	67
A101688	70
A101689	63
A101690	69
A101691	75
A101692	67
A101693	71
A101694	75
A101695	75
A101696	69
A101697	65
A101698	76
A101699	64
A101700	75
A101701	69
A101702	68
A101703	72
A101704	71
A101705	71
A101706	73
A101707	69
A101708	74
A101709	72
A101710	70
A101711	69
A101712	72
A101713	73
A101714	66
A101715	69
A101716	74
A101717	66
A101718	71
A101719	74
A101720	76
A101721	76
A101722	69
A101723	63
A101724	70
A101725	79
A101726	76
A101727	72
A101728	60
A101729	73
A101730	72
A101731	74
A101732	64
A101733	79
A101734	73
A101735	67
A101736	69
A101737	65
A101738	69
A101739	67
A101740	72
A101741	67
A101742	73
A101743	69
A101744	74
A101745	66
A101746	68
A101747	70
A101748	68
A101749	72
A101750	68
A101751	72
A101752	73
A101753	67
A101754	63
A101755	71
A101756	71
A101757	77
A101758	70
A101759	68
A101760	75
A101761	69
A101762	71
A101763	72
A101764	70
A101765	71
A101766	68
A101767	71
A101768	68
A101769	69
A101770	77
A101771	75
A101772	69
A101773	74
A101774	70
A101775	70
A101776	71
A101777	71
A101778	70
A101779	74
A101780	74
A101781	67
A101782	62
A101783	66
A101784	68
A101785	75
A101786	64
A101787	70
A101788	69
A101789	67
A101790	74
A101791	62
A101792	72
A101793	66
A101794	74
A101795	71
A101796	71
A101797	72
A101798	63
A101799	69
A101800	74
A101801	65
A101802	73
A101803	68
A101804	66
A101805	70
A101806	75
A101807	69
A101808	73
A101809	72
A101810	70
A101811	72
A101812	72
A101813	69
A101814	71
A101815	68
A101816	73
A101817	69
A101818	69
A101819	66
A101820	76
A101821	71
A101822	72
A101823	60
A101824	70
A101825	71
A101826	69
A101827	68
A101828	70
A101829	72
A101830	69
A101831	69
A101832	64
A101833	69
A101834	65
A101835	68
A101836	62
A101837	62
A101838	70
A101839	67
A101840	75
A101841	72
A101842	76
A101843	72
A101844	68
A101845	73
A101846	71
A101847	73
A101848	72
A101849	67
A101850	77
A101851	66
A101852	67
A101853	67
A101854	60
A101855	72
A101856	72
A101857	61
A101858	75
A101859	74
A101860	67
A101861	69
A101862	74
A101863	66
A101864	64
A101865	73
A101866	76
A101867	68
A101868	70
A101869	66
A101870	69
A101871	76
A101872	67
A101873	73
A101874	73
A101875	75
A101876	77
A101877	68
A101878	63
A101879	73
A101880	69
A101881	67
A101882	68
A101883	80
A101884	77
A101885	66
A101886	71
A101887	69
A101888	68
A101889	65
A101890	73
A101891	74
A101892	73
A101893	66
A101894	66
A101895	64
A101896	72
A101897	72
A101898	69
A101899	70
A101900	66
A101901	71
A101902	70
A101903	68
A101904	70
A101905	77
A101906	74
A101907	64
A101908	68
A101909	69
A101910	71
A101911	70
A101912	74
A101913	61
A101914	73
A101915	68
A101916	65
A101917	71
A101918	74
A101919	65
A101920	68
A101921	71
A101922	65
A101923	66
A101924	69
A101925	68
A101926	77
A101927	63
A101928	71
A101929	73
A101930	73
A101931	70
A101932	71
A101933	63
A101934	70
A101935	72
A101936	71
A101937	73
A101938	68
A101939	75
A101940	69
A101941	64
A101942	68
A101943	70
A101944	66
A101945	67
A101946	63
A101947	72
A101948	67
A101949	70
A101950	63
A101951	66
A101952	71
A101953	61
A101954	68
A101955	70
A101956	71
A101957	67
A101958	68
A101959	73
A101960	73
A101961	66
A101962	69
A101963	72
A101964	63
A101965	72
A101966	77
A101967	72
A101968	72
A101969	65
A101970	62
A101971	69
A101972	76
A101973	73
A101974	72
A101975	71
A101976	74
A101977	68
A101978	77
A101979	70
A101980	69
A101981	69
A101982	71
A101983	69
A101984	71
A101985	71
A101986	69
A101987	68
A101988	78
A101989	71
A101990	72
A101991	77
A101992	71
A101993	77
A101994	67
A101995	69
A101996	69
A101997	74
A101998	68
A101999	74
A102000	73
A102001	66
A102002	68
A102003	71
A102004	70
A102005	71
A102006	70
A102007	69
A102008	66
A102009	74
A102010	70
A102011	66
A102012	68
A102013	70
A102014	72
A102015	73
A102016	64
A102017	77
A102018	68
A102019	70
A102020	67
A102021	70
A102022	71
A102023	65
A102024	67
A102025	64
A102026	69
A102027	62
A102028	75
A102029	75
A102030	66
A102031	73
A102032	77
A102033	74
A102034	68
A102035	70
A102036	70
A102037	71
A102038	66
A102039	69
A102040	67
A102041	64
A102042	71
A102043	69
A102044	66
A102045	63
A102046	73
A102047	67
A102048	72
A102049	73
A102050	67
A102051	63
A102052	61
A102053	65
A102054	62
A102055	73
A102056	61
A102057	76
A102058	78
A102059	77
A102060	65
A102061	80
A102062	70
A102063	72
A102064	68
A102065	70
A102066	72
A102067	72
A102068	75
A102069	69
A102070	65
A102071	72
A102072	68
A102073	72
A102074	75
A102075	72
A102076	69
A102077	69
A102078	70
A102079	76
A102080	66
A102081	76
A102082	71
A102083	64
A102084	62
A102085	73
A102086	72
A102087	70
A102088	73
A102089	70
A102090	78
A102091	65
A102092	66
A102093	70
A102094	71
A102095	70
A102096	69
A102097	71
A102098	70
A102099	69
A102100	69
A102101	72
A102102	68
A102103	71
A102104	67
A102105	66
A102106	70
A102107	73
A102108	72
A102109	70
A102110	69
A102111	71
A102112	68
A102113	70
A102114	64
A102115	77
A102116	69
A102117	74
A102118	72
A102119	71
A102120	76
A102121	63
A102122	73
A102123	62
A102124	71
A102125	71
A102126	72
A102127	63
A102128	70
A102129	67
A102130	65
A102131	84
A102132	67
A102133	67
A102134	77
A102135	70
A102136	68
A102137	63
A102138	79
A102139	73
A102140	63
A102141	73
A102142	72
A102143	72
A102144	61
A102145	69
A102146	65
A102147	72
A102148	71
A102149	71
A102150	76
A102151	73
A102152	70
A102153	68
A102154	71
A102155	74
A102156	66
A102157	74
A102158	65
A102159	68
A102160	73
A102161	64
A102162	71
A102163	69
A102164	69
A102165	71
A102166	70
A102167	71
A102168	67
A102169	66
A102170	69
A102171	69
A102172	67
A102173	61
A102174	68
A102175	72
A102176	64
A102177	70
A102178	63
A102179	67
A102180	71
A102181	72
A102182	71
A102183	67
A102184	69
A102185	67
A102186	67
A102187	65
A102188	73
A102189	67
A102190	72
A102191	65
A102192	67
A102193	65
A102194	77
A102195	74
A102196	69
A102197	77
A102198	64
A102199	78
A102200	72
A102201	71
A102202	69
A102203	71
A102204	62
A102205	65
A102206	70
A102207	71
A102208	74
A102209	73
A102210	71
A102211	74
A102212	78
A102213	70
A102214	64
A102215	77
A102216	70
A102217	73
A102218	77
A102219	69
A102220	74
A102221	71
A102222	69
A102223	68
A102224	72
A102225	72
A102226	76
A102227	74
A102228	72
A102229	61
A102230	67
A102231	73
A102232	71
A102233	71
A102234	67
A102235	62
A102236	68
A102237	68
A102238	70
A102239	74
A102240	71
A102241	64
A102242	73
A102243	71
A102244	67
A102245	72
A102246	70
A102247	70
A102248	66
A102249	70
A102250	67
A102251	74
A102252	61
A102253	76
A102254	71
A102255	70
A102256	70
A102257	63
A102258	73
A102259	67
A102260	69
A102261	76
A102262	64
A102263	74
A102264	69
A102265	71
A102266	78
A102267	71
A102268	66
A102269	69
A102270	63
A102271	70
A102272	70
A102273	62
A102274	81
A102275	81
A102276	69
A102277	65
A102278	72
A102279	71
A102280	69
A102281	73
A102282	72
A102283	69
A102284	68
A102285	64
A102286	72
A102287	65
A102288	69
A102289	72
A102290	71
A102291	75
A102292	68
A102293	72
A102294	74
A102295	74
A102296	72
A102297	68
A102298	78
A102299	72
A102300	68
A102301	75
A102302	65
A102303	63
A102304	69
A102305	69
A102306	68
A102307	74
A102308	72
A102309	73
A102310	67
A102311	66
A102312	66
A102313	73
A102314	78
A102315	73
A102316	70
A102317	71
A102318	66
A102319	63
A102320	70
A102321	73
A102322	67
A102323	66
A102324	77
A102325	68
A102326	67
A102327	68
A102328	65
A102329	73
A102330	66
A102331	77
